Row Labels,File Name,Max of Probability,Max of Probability of Intl Style
B_European,B_European_detail_classifier_model_analysis_in_False.jpg,10.618355,65.590416
,B_European_detail_classifier_model_analysis_in_True.jpg,0.6916786,99.997475
,B_European_detail_classifier_model_bw_analysis_in_False.jpg,27.874395,99.60587
,classifier_model,0.26204497,99.60587
,classifier_model_bw,2.4310799,97.28636
,classifier_model_small,27.874395,71.34733
,B_European_detail_classifier_model_bw_analysis_in_True.jpg,17.898237,97.97495
,B_European_detail_classifier_model_bw_classifier_model_bw_False.jpg,6.417884,99.77063
,B_European_detail_classifier_model_bw_classifier_model_bw_True.jpg,5.1493535,8.209421
,B_European_detail_classifier_model_classifier_model_False.jpg,0.6491184,64.03642
,B_European_detail_classifier_model_classifier_model_True.jpg,0.6715249,96.565254
,B_European_detail_classifier_model_small_analysis_in_False.jpg,17.228062,96.86158
,B_European_detail_classifier_model_small_analysis_in_True.jpg,0.6242372,99.99468
,B_European_detail_classifier_model_small_classifier_model_small_False.jpg,21.32371,91.78897
,B_European_detail_classifier_model_small_classifier_model_small_True.jpg,0.42267507,95.7553
B_European Total,,27.874395,99.997475
C_Japanese,C_Japanese_detail_classifier_model_analysis_in_False.jpg,6.15837,96.95358
,C_Japanese_detail_classifier_model_analysis_in_True.jpg,0.15897506,99.9717
,C_Japanese_detail_classifier_model_bw_analysis_in_False.jpg,6.4988127,98.35939
,classifier_model,0.16092262,98.35939
,classifier_model_bw,6.4988127,90.50354
,classifier_model_small,3.5576067,61.858456
,C_Japanese_detail_classifier_model_bw_analysis_in_True.jpg,0.40438432,99.6731
,C_Japanese_detail_classifier_model_bw_classifier_model_bw_False.jpg,0.109961756,99.999664
,C_Japanese_detail_classifier_model_bw_classifier_model_bw_True.jpg,0.03327857,99.99195
,C_Japanese_detail_classifier_model_classifier_model_False.jpg,0.014984522,99.964226
,C_Japanese_detail_classifier_model_classifier_model_True.jpg,1.0554645,99.99027
,C_Japanese_detail_classifier_model_small_analysis_in_False.jpg,0.2906721,99.39449
,C_Japanese_detail_classifier_model_small_analysis_in_True.jpg,0.039845247,99.61132
,C_Japanese_detail_classifier_model_small_classifier_model_small_False.jpg,2.222857,99.926956
,C_Japanese_detail_classifier_model_small_classifier_model_small_True.jpg,15.460684,98.72266
C_Japanese Total,,15.460684,99.999664
D_Korean,D_Korean_detail_classifier_model_analysis_in_False.jpg,0.028176373,99.667015
,D_Korean_detail_classifier_model_analysis_in_True.jpg,2.8120012,67.74745
,D_Korean_detail_classifier_model_bw_analysis_in_False.jpg,0.082806386,96.49343
,D_Korean_detail_classifier_model_bw_analysis_in_True.jpg,0.07819321,77.869125
